,0,1,2,3,4
329,Kombo-Abedimo,Arrondissement,...,"2,146",
330,Kombo-Itindi,Arrondissement,...,"2,958",
331,Mundemba,Arrondissement,...,"14,385",
332,Toko,Arrondissement,...,"7,035",
333,Ngo-Ketunjia,Department,"117,093","187,348",
334,Babessi,Arrondissement,...,"49,208",
335,Balikumbat,Arrondissement,...,"68,537",
336,Ndop,Arrondissement,...,"69,603",
337,Nkam,Department,"41,143","36,730",
338,Nkondjock,Arrondissement,...,"17,428",
339,Nord-Makombé,Arrondissement,...,"3,999",
340,Yabassi,Arrondissement,...,"12,999",
341,Yingui,Arrondissement,...,"2,304",
342,Noun,Department,"293,725","455,083",
343,Bangourain,Arrondissement,...,"30,877",
344,Foumban,Arrondissement,...,"106,309",
345,Foumbot,Arrondissement,...,"76,486",
346,Kouoptamo,Arrondissement,...,"48,772",
347,Koutaba,Arrondissement,...,"49,171",
348,Magba,Arrondissement,...,"35,628",
349,Malentouen,Arrondissement,...,"45,121",
350,Massangam,Arrondissement,...,"38,736",
351,Njimom,Arrondissement,...,"23,983",
352,Nyong-et-Kéllé,Department,"98,261","129,819",
353,Biyouha,Arrondissement,...,"3,386",
354,Bondjock,Arrondissement,...,"8,431",
355,Bot-Makak,Arrondissement,...,"17,089",
356,Dibang,Arrondissement,...,"9,063",
357,Éséka,Arrondissement,...,"23,242",
358,Makak,Arrondissement,...,"29,135",
359,Matomb,Arrondissement,...,"11,512",
360,Messondo,Arrondissement,...,"14,139",
361,Ngog-Mapubi,Arrondissement,...,"9,137",
362,Nguibassal,Arrondissement,...,"4,685",
363,Nyong-et-Mfoumou,Department,"88,349","104,507",
364,Akonolinga,Arrondissement,...,"47,561",
365,Ayos,Arrondissement,...,"22,899",
366,Endom,Arrondissement,...,"14,789",
367,Mengang,Arrondissement,...,"8,031",
368,Nyakokombo,Arrondissement,...,"11,227",
369,Nyong-et-So'o,Department,"96,038","115,960",
370,Akoeman,Arrondissement,...,"5,397",
371,Dzeng,Arrondissement,...,"9,412",
372,Mbalmayo,Arrondissement,...,"62,808",
373,Mengueme,Arrondissement,...,"7,527",
374,Ngomedzap,Arrondissement,...,"17,169",
375,Nkolmetet,Arrondissement,...,"13,647",
376,Océan,Department,"92,994","179,093",
377,Akom II,Arrondissement,...,"8,802",
378,Bipindi,Arrondissement,...,"14,118",
379,Campo,Arrondissement,...,"6,923",
380,Kribi I,City Arrondissement,...,"29,886",
381,Kribi II,City Arrondissement,...,"40,679",
382,Lokoundje,Arrondissement,...,"22,681",
383,Lolodorf,Arrondissement,...,"14,326",
384,Mvengue,Arrondissement,...,"17,757",
385,Niete,Arrondissement,...,"23,921",
386,Sanaga-Maritime,Department,"136,932","162,315",
387,Dibamba,Arrondissement,...,"5,350",
388,Dizangué,Arrondissement,...,"17,086",
389,Édéa I,City Arrondissement,...,"64,761",
390,Édéa II,City Arrondissement,...,"13,539",
391,Massock-Songloulou,Arrondissement,...,"5,044",
392,Mouanko,Arrondissement,...,"9,162",
393,Ndom,Arrondissement,...,"10,340",
394,Ngambe,Arrondissement,...,"6,210",
395,Ngwei,Arrondissement,...,"4,831",
396,Nyanon,Arrondissement,...,"12,517",
