dataset,area,project_name,developer,Google Pin Location,land_size_acres,project_status,start_year,completion_year,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units,number_units_per_acre,Year Data Valid, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,occupancy,annual_uptake,"Projected Yield assuming 90% occupancy rate, 6% stamp duty",Source
Neighborhood,Ruiru,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,,,3,Apartments,154,,,2019,"  14,500,000 ","  94,156 ","  65,000 ",  422 ,3000,"Ksh171,841.04",162294.3161,  2.6 ,,,5%,
Developer,Syokimau,Lifestyle Terraces,Lifestyle Estate Holdings Limited,"-1.36252, 36.92136",,Complete,,,2,Apartments,77,200,,2019,,  -   ,"  30,000 ",  390 ,,,,  -   ,,,,
Developer,Syokimau,Lifestyle Terraces,Lifestyle Estate Holdings Limited,"-1.36252, 36.92136",,Complete,,,3,Apartments,110,80,,2019,"  8,000,000 ","  72,727 ","  40,000 ",  364 ,3000,"Ksh94,808.85",,  2.4 ,,,5%,
Neighborhood,Mlolongo,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,1,Apartments,,,,2019,"  4,600,000 ",,"  28,000 ",,3000,"Ksh54,515.09",54515.08872,  1.9 ,,,6%,
NMDA,Syokimau,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,2012,,2,Apartments,75,,,2021,"  5,750,000 ","  76,667 ","  28,000 ",  373 ,,"Ksh68,143.86",,  2.4 ,,,5%,
Neighborhood,Mlolongo,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,2,Apartments,75,,,2019,"  6,950,000 ","  92,667 ","  30,000 ",  400 ,3000,"Ksh82,365.19",82365.18839,  2.7 ,,,4%,
NMDA,Syokimau,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,3,Apartments,125,,,2021,"  7,800,000 ","  62,400 ","  35,000 ",  280 ,,"Ksh92,438.63",,  2.6 ,,,5%,
Neighborhood,Mlolongo,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,3,Apartments,77,,,2019,"  8,800,000 ","  114,286 ","  35,000 ",  455 ,3000,"Ksh104,289.73",104289.7349,  3.0 ,,,4%,
Neighborhood,Mlolongo,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,3,Apartments,96,,,2019,"  10,500,000 ","  109,375 ","  40,000 ",  417 ,3000,"Ksh124,436.62",124436.6156,  3.1 ,,,4%,
Neighborhood,Mlolongo,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",,ongoing,,,3,Apartments,125,,,2019,"  12,000,000 ","  96,000 ","  40,000 ",  320 ,3000,"Ksh142,213.27",142213.2749,  3.6 ,,,3%,
NMDA,Thindigua,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",,complete,,,2,Apartments,100,,,2021,"  9,000,000 ","  90,000 ","  46,000 ",  460 ,,"Ksh106,659.96",,  2.3 ,,,5%,
NMDA,Thindigua,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",,complete,2017,,3,Apartments,140,40,,2021,"  14,200,000 ","  101,429 ","  63,000 ",  450 ,,"Ksh168,285.71",,  2.7 ,80%,24%,5%,
NMDA,Thindigua,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",,complete,,,3,Apartments,170,,,2021,"  18,000,000 ","  105,882 ","  70,000 ",  412 ,,"Ksh213,319.91",,  3.0 ,,,4%,
Neighborhood,Thindigua,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",,complete,,,3,Apartments,140,,,2019,"  13,000,000 ","  92,857 ","  50,000 ",  357 ,3000,"Ksh154,064.38",145505.2489,  3.1 ,,,4%,
Neighborhood,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,1,Apartments,21,,,2019,"  1,500,000 ","  71,429 ","  20,000 ",  952 ,3000,"Ksh17,776.66",17776.65936,  0.9 ,,,14%,
NMDA,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,1,Apartments,48,64,,2021,"  3,500,000 ","  72,917 ","  12,500 ",  260 ,,"Ksh41,478.87",,  3.3 ,86%,7%,4%,
Neighborhood,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,1,Apartments,48,64,,2019,"  2,985,000 ","  62,188 ","  25,000 ",  521 ,3000,"Ksh35,375.55",35375.55214,  1.4 ,,,9%,
NMDA,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,2,Apartments,83,98,,2021,"  4,500,000 ","  54,217 ","  21,000 ",  253 ,,"Ksh53,329.98",,  2.5 ,81%,7%,5%,
Neighborhood,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,2,Apartments,83,98,,2019,"  4,950,000 ","  59,639 ","  40,000 ",  482 ,3000,"Ksh58,662.98",58662.9759,  1.5 ,,,8%,
NMDA,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,3,Apartments,105,52,,2021,,  -   ,"  27,500 ",  262 ,,,,  -   ,88%,6%,,
Neighborhood,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,3,Apartments,105,52,,2019,"  5,990,000 ","  57,048 ","  45,000 ",  429 ,3000,"Ksh70,988.13",70988.1264,  1.6 ,,,8%,
Neighborhood,Athi River,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",,Complete,2009,2017,4,Apartments,186,,,2019,"  12,500,000 ","  67,385 ","  60,000 ",  323 ,3000,"Ksh148,138.83",148138.828,  2.5 ,,,5%,
NMDA,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,1,Apartments,55,,,2021,"  5,500,000 ","  100,000 ","  20,000 ",  364 ,,"Ksh65,181.08",,  3.3 ,,,4%,
Neighborhood,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,1,Apartments,55,,,2019,"  4,500,000 ","  81,818 ","  20,000 ",  364 ,3000,"Ksh53,329.98",50367.20153,  2.7 ,,,5%,
NMDA,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,2,Apartments,78,,,2021,"  7,000,000 ","  89,744 ","  30,000 ",  385 ,,"Ksh82,957.74",,  2.8 ,,,4%,
Neighborhood,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,2,Apartments,78,,,2019,"  6,000,000 ","  76,923 ","  30,000 ",  385 ,3000,"Ksh71,106.64",67156.26871,  2.4 ,,,5%,
NMDA,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,3,Apartments,100,,,2021,"  8,500,000 ","  85,000 ","  40,000 ",  400 ,,"Ksh100,734.40",,  2.5 ,,,5%,
Neighborhood,Komarock,Mowlem Heights,,"-1.25468, 36.91091",,Complete,2013,2016,3,Apartments,100,,,2019,"  7,500,000 ","  75,000 ","  40,000 ",  400 ,3000,"Ksh88,883.30",83945.33589,  2.2 ,,,5%,
Neighborhood,Thindigua,Mugumo Executive Apartments,Banda Homes,"-1.20197, 36.83629",,Stalled,,,2,Apartments,96,340,,2019,"  5,350,000 ","  55,729 ","  28,000 ",  292 ,3000,"Ksh63,403.42",59881.00627,  2.3 ,,,5%,
NMDA,Ruaka,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",,Complete,2012,,2,Apartments,90,18,,2021,"  8,000,000 ","  88,889 ","  35,000 ",  389 ,,"Ksh94,808.85",,  2.7 ,0%,,4%,
Neighborhood,Ruaka,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",,Complete,2012,,2,Apartments,90,18,,2019,"  7,500,000 ","  83,333 ","  30,000 ",  333 ,3000,"Ksh88,883.30",83945.33589,  3.0 ,,,4%,
Neighborhood,Ruaka,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",,Complete,2012,,3,Apartments,110,18,,2019,"  8,500,000 ","  77,273 ","  50,000 ",  455 ,3000,"Ksh100,734.40",95138.04734,  2.0 ,,,6%,
NMDA,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",32,Complete,2010,2017,1,Apartments,58,280,,2021,"  2,900,000 ","  50,000 ","  15,000 ",  259 ,,"Ksh34,368.21",,  2.3 ,79%,7%,5%,
Neighborhood,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,1,Apartments,48,280,,2019,"  2,900,000 ","  60,417 ","  18,000 ",  375 ,3000,"Ksh34,368.21",32458.86321,  1.9 ,,,6%,
NMDA,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,2,Apartments,86,280,,2021,"  4,000,000 ","  46,512 ","  18,000 ",  209 ,,"Ksh47,404.42",,  2.6 ,71%,6%,5%,
Neighborhood,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,2,Apartments,56,,,2019,"  3,900,000 ","  69,643 ","  23,000 ",  411 ,3000,"Ksh46,219.31",43651.57466,  2.0 ,,,6%,
NMDA,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,3,Apartments,139,260,,2021,"  5,000,000 ","  35,971 ","  30,000 ",  216 ,,"Ksh59,255.53",,  2.0 ,83%,7%,6%,
Neighborhood,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,3,Apartments,70,,,2019,"  4,900,000 ","  70,000 ","  28,000 ",  400 ,3000,"Ksh58,070.42",54844.28611,  2.1 ,,,6%,
Neighborhood,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,3,Apartments,116,,,2019,"  8,400,000 ","  72,414 ","  33,000 ",  284 ,3000,"Ksh99,549.29",94018.7762,  3.0 ,,,4%,
Neighborhood,Kitengela,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",,Complete,2010,2017,3,Apartments,130,,,2019,"  9,600,000 ","  73,846 ","  38,000 ",  292 ,3000,"Ksh113,770.62",107450.0299,  3.0 ,,,4%,
NMDA,Ruaka,Nalani Homes,Allen Street Investments,"-1.20934, 36.78474",,Complete,2018,,2,Apartments,97,,,2021,"  8,000,000 ","  82,216 ","  45,000 ",  462 ,,"Ksh94,808.85",,  2.1 ,,,6%,
Neighborhood,Ruaka,Nalani Homes,Allen Street Investments,"-1.20934, 36.78474",,Complete,2018,,2,Apartments,88,,,2019,"  9,000,000 ","  102,273 ","  40,000 ",  455 ,3000,"Ksh106,659.96",100734.4031,  2.7 ,,,5%,
Developer,Lavington,Natureville Meadows Apartments,Natureville,"-1.28249, 36.73639",,Complete,2017,2019,2,Apartments,80,30,,2019,,  -   ,"  50,000 ",  625 ,,,,  -   ,,,,
NMDA,Lavington,Natureville Meadows Apartments,Natureville,"-1.28249, 36.73639",,Complete,2017,2019,2,Apartments,80,30,,2021,"  7,295,000 ","  91,188 ","  37,000 ",  463 ,,"Ksh86,453.82",,  2.3 ,100%,24%,5%,
