area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Kitengela,Kenya,The Riverine,Zamara Fanaka Retirement Fund,"-1.57144, 36.92842",2,Apartments,91,40,7000000,76923,30000,330,3000,82957.74,78348.98016,2.8,4
Kitengela,Kenya,The Riverine,Zamara Fanaka Retirement Fund,"-1.57144, 36.92842",3,Apartments,114,40,7900000,69298,35000,307,3000,93623.74,88422.42047,2.7,5
Kitengela,Kenya,The Riverine,Zamara Fanaka Retirement Fund,"-1.57144, 36.92842",4,Townhouses,360,40,15900000,44167,45000,125,3000,188432.59,177964.1121,4.2,3
Kilimani,Kenya,The Rose Garden,Cytonn Real Estate,"-1.28707, 36.79380",3,Apartments,144,40,18000000,125000,120000,833,3000,213319.91,201468.8061,1.8,7
Parklands,Kenya,The Sydney Residence,Deltar Properties,"-1.26317, 36.81786",4,Apartments,170,90,15000000,88235,59775.1237623762,488.966974900925,3003,177766.59,123660.884771413,2.46908850726552,0
Ongata Rongai,Kenya,The Ten Villas,The Ten Villas Ltd,"-1.39160, 36.76053",4,Maisonette,330,40,23500000,71212,60000,182,3000,278501,263028.7191,4.6,3
Ongata Rongai,Kenya,The Ten Villas,The Ten Villas Ltd,"-1.39160, 36.76053",4,Maisonette,480,40,27500000,57292,75000,156,3000,325905.42,307799.5649,4.3,3
Thindigua,Kenya,The Tree House,Cytonn Real Estate,"-1.20593, 36.84571",2,Apartments,100,40,7300000,73000,59775.1237623762,488.966974900925,3003,86513.08,123660.884771413,2.46908850726552,0
Thindigua,Kenya,The Tree House,Cytonn Real Estate,"-1.20593, 36.84571",3,Apartments,130,40,9900000,76154,59775.1237623762,488.966974900925,3003,117325.95,123660.884771413,2.46908850726552,0
Thindigua,Kenya,Thindigua Apartments,Cytonn Real Estate,"-1.20483, 36.83589",3,Apartments,120,40,9000000,75000,65000,542,3000,106659.96,100734.4031,1.6,7
Thindigua,Kenya,Thindigua Gardens,Fahari Realtors Ltd,"-1.20389, 36.83439",3,Apartments,120,62,10000000,83333,59775.1237623762,488.966974900925,3003,118511.06,123660.884771413,2.46908850726552,5
Thindigua,Kenya,Thindigua Heights,Cytonn Real Estate,"-1.20550, 36.83705",3,Apartments,120,40,12000000,100000,60000,500,3003,142213.27,123660.884771413,2.4,5
Parklands,Kenya,Tigoni Apartments,Dunhill Consulting Ltd,"-1.26362, 36.81679",3,Apartments,210,40,16000000,76190,75000,357,3003,189617.7,123660.884771413,2.5,5
Syokimau,Kenya,Tofina Muthama Centre Limited,Tofina Muthana Builders Limited Phase 1,"-1.38604, 36.92278",3,Apartments,150,40,16000000,106667,55000,367,3000,189617.7,189617.6999,3.4,4
Riverside,Kenya,Trident Grand,Cytonn Real Estate,"-1.27175, 36.79892",3,Apartments,316,32,43000000,136080,200000,633,3003,509597.57,123660.884771413,2.5,5
Riverside,Kenya,Trident Grand,Cytonn Real Estate,"-1.27175, 36.79892",4,Apartments,260,16,48000000,184459,300000,1153,3003,568853.1,123660.884771413,1.9,6
Imara Daima,Kenya,Tsavo Apartments,Tsavo,"-1.31742, 36.90389",2,Apartments,95,36,7500000,78947,40000,421,3003,88883.3,123660.884771413,2.2,5
Dagoretti,Kenya,Tsavo Skywalk,Tsavo,"-1.29721, 36.75176",1,Apartments,19,40,2000000,105263,59775.1237623762,488.966974900925,3003,23702.21,123660.884771413,2.46908850726552,5
Embakasi,Kenya,Tsavo Studios,Tsavo,"-1.31709, 36.90299",1,Apartments,21,40,1850000,86580,12000,562,3000,21924.55,20706.51619,1.8,7
Embakasi,Kenya,Tsavo Studios,Tsavo,"-1.31709, 36.90299",1,Apartments,27,40,2400000,89600,15000,560,3000,28442.65,26862.50748,1.9,6
Kileleshwa,Kenya,Vernonia,Cytonn Real Estate,"-1.28131, 36.78094",3,Apartments,110,40,25000000,227273,140000,1273,3003,296277.66,123660.884771413,2.1,6
Kilimani,Kenya,Vesta Gardens,Cytonn Real Estate,"-1.29900, 36.79175",2,Apartments,116,40,12500000,107759,70000,603,3000,148138.83,139908.8931,2.1,6
Kilimani,Kenya,Vesta Gardens,Cytonn Real Estate,"-1.29900, 36.79175",3,Apartments,140,40,14500000,103571,75000,536,3000,171841.04,162294.3161,2.3,5
Kilimani,Kenya,Vesta Gardens,Cytonn Real Estate,"-1.29900, 36.79175",3,Apartments,160,40,17000000,106250,85000,531,3000,201468.81,190276.0947,2.4,5
