Country,Year,"Central government, Fiscal Balance (% of GDP)","Central government, Fiscal Balance (Current US $)","Central government, total expenditure and net lending  (% of GDP)","Central government, total expenditure and net lending  (Current US $)","Central government, total revenue and grants  (% of GDP)","Central government, total revenue and grants  (Current US $)",Current account balance (As % of GDP),"Current account balance (Net, BoP, cur. US$)",Exports of goods and services (% of GDP),Exports of goods and services (current US$),Final consumption expenditure  (% of GDP),Final consumption expenditure  (current US$),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),Gross capital formation (% of GDP),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector  (current US$)","Gross capital formation, Public sector (% GDP)","Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Household final consumption expenditure  (% of GDP),Household final consumption expenditure (current US$),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Inflation, consumer prices (annual %)",Real GDP growth (annual %),Real per Capita GDP Growth Rate (annual %)
Kenya,1984,-3.5982027369,-313.704753871807,19.8050449527,1726.67779074406,16.2068422159,1412.97303687225,-1.262704488,-110.087293456857,18.6367386744,1624.82048578109,57.2789261223,4993.79071590617,12.350221359,1076.73842610258,14.7375064155,1284.8708538286,974.423881426108,11.1766705277,310.446972402488,3.5608358878,7794.74477676838,8718.37349960068,44.9287047634,3917.05228980359,19.6075679307,1709.46100638967,20.6625422031,1.6001240776,-2.1464068464
Kenya,1985,-4.266141388,-370.143844432935,20.7570742133,1800.94904264049,16.4909328253,1430.80519820756,-1.1035453281,-95.7470634721005,17.8999704547,1553.05773455614,53.3351784239,4627.52782663202,12.3448072102,1071.07429969389,18.1103933049,1571.31468284638,1335.28607286866,15.390014628,236.02860997772,2.7203786769,8112.21580092338,8676.31451395208,40.9903712137,3556.45352693813,18.6154081453,1615.13135874295,11.3992990936,4.0728854279,0.2942583548
Kenya,1986,-4.1700717739,-429.706247965662,20.3678566737,2098.81166196943,16.1977848998,1669.10541400377,-0.3115261412,-32.1013010160953,18.1461290886,1869.87310254719,54.8450902248,5651.52813129788,12.8709524715,1326.29100747579,15.2872465229,1575.27872449263,1300.20466311294,12.6177983021,275.074061379681,2.6694482208,8678.61913622499,10304.5288249733,41.9741377533,4325.23712382208,18.0145487194,1856.31436548192,10.2829257117,6.9821038937,3.1634514804
Kenya,1987,-3.2355440035,-365.498200486206,20.6077236171,2327.9194750963,17.3721796137,1962.42127461009,-4.3178395327,-487.758033113409,15.0638301039,1701.66215928773,57.0165969431,6440.79127290407,13.1055321904,1480.44607858033,17.1404866825,1936.24844267526,1544.94934031354,13.6765422293,391.299102361712,3.4639444531,9182.90644107579,11296.3446052882,43.9110647528,4960.34519432374,18.6576295715,2107.63013157495,13.0075328636,5.8106859736,2.0997172475
Kenya,1988,-2.8496741635,-333.761436567039,21.2190039236,2485.22631911003,18.3693297601,2151.46488254299,-3.9300634406,-460.299509507258,15.9146522495,1863.96650720399,58.4146637282,6841.68117607947,13.1339179689,1538.27949355106,18.1758029621,2128.79850792524,1593.29674403723,13.6036583885,535.50176388801,4.5721445736,9742.22331516447,11712.2666457679,45.2807457594,5303.40168252841,19.7634194198,2314.74438077207,4.8047625718,6.0908480085,2.4425529867
Kenya,1989,-3.4120628661,-396.190368684485,21.7219402493,2522.23474587097,18.3098773832,2126.04437718648,-5.8223936436,-676.065000795628,16.7282888591,1942.39883339409,59.2355573964,6878.11398711873,12.8769310637,1495.19990278284,17.7329908927,2059.05942398833,1259.72358331512,10.8489665572,799.335840673217,6.8840243354,10185.9062031517,11611.4615771936,46.3586263327,5382.91408433589,21.8690142642,2539.31218860129,7.6176222131,4.5542262134,1.0360743908
Kenya,1990,-4.7714181998,-576.511603383371,22.880976285,2764.61793385273,18.1095580852,2188.10633046936,-3.9207440909,-473.728012858921,18.4872007609,2233.73540244733,57.166370569,6907.18662174665,13.2264014071,1598.09380836839,17.1439011401,2071.42981828338,1438.01975656887,11.901570754,633.410061714507,5.2423303862,10606.9597082516,12082.6047779455,43.9399691619,5309.09281337825,22.1731120564,2679.08949674446,16.5014933345,4.133687241,0.7097245721
Kenya,1991,-8.1516886938,-930.077786667065,22.2363324478,2537.08398879691,14.084643754,1607.00620212984,-1.2451287595,-142.064625405558,19.280237712,2199.80441982122,56.4088419654,6436.04200974993,11.9820916759,1367.11272034579,14.9820115291,1709.39257449678,1201.51508845669,10.5307073262,507.877486040093,4.4513042029,10749.018731801,11409.6332871022,44.4267502895,5068.92928940413,20.1768299403,2302.10230515597,19.6000246082,1.3393001148,-1.9175719831
Kenya,1992,-10.6177138915,-1193.1162199772,23.7099444209,2664.29473920218,13.0922305295,1471.17851922498,-0.9004999137,-101.189489955932,19.1392049589,2150.6791487671,60.6462093722,6814.83573787589,11.4567842177,1287.40284572025,12.3401576367,1386.66782548236,801.108718709666,7.1291824122,585.559106772691,5.2109752245,10632.9092560275,11237.0349415488,49.1894251545,5527.43289215565,19.0712531574,2143.04338109309,27.3000127187,-1.080186747,-4.1881981314
Kenya,1993,-11.474596507,-895.784329257604,25.5688468581,1996.07649112172,14.0942503511,1100.29216186411,2.1895870062,170.93391707033,29.7965600971,2326.12027661449,57.1790153423,4463.77926012003,11.4422077012,893.255840817361,12.9749025757,1012.90833136499,652.545775402701,8.3588194507,360.362555962286,4.616083125,10622.8335671456,7806.67388796233,45.7368076411,3570.52341930267,26.2718035847,2050.9540303407,40.7819526731,-0.094759474,-3.1599483894
Kenya,1994,-5.5437075223,-518.163530572217,25.3109448711,2365.78291763504,19.7672373488,1847.61938706282,-0.0819022253,-7.65530036649558,28.2926790772,2644.48195023782,59.3242497035,5544.96472829907,11.5899262334,1083.29616453704,14.7547403278,1379.10744934042,576.298406524857,6.1656786378,802.809042815561,8.58906169,10891.7168321924,9346.87713036226,47.7343234701,4461.66856376203,25.8909141749,2419.99193585796,28.8136292945,2.5311821309,-0.5367103362
Kenya,1995,-0.4855984737,-57.5368086021802,23.2546236121,2755.35632878882,22.7690251384,2697.81952018664,-4.2168771823,-499.642541017533,25.041537863,2967.08134194572,64.2131279874,7608.38152199698,11.3324329532,1342.73903456751,16.6591858171,1973.886734928,790.658104802257,6.6729868805,1183.22863012574,9.9861989367,11358.6307516035,11848.638682563,52.8806950342,6265.64248742947,29.561297465,3502.6113265072,1.5548134386,4.2868716347,1.2437791419
Kenya,1996,-0.9591154144,-114.612909254419,23.0455397987,2753.90878088426,22.0864243842,2639.29587162984,-1.5552675381,-185.852228559007,25.2680135145,3019.49118575013,88.8803762712,10621.0768243987,15.6706822928,1872.62394136464,15.1243289416,1807.33550358193,810.443311362496,6.7820342185,996.89219221943,8.3422947231,11814.2289576212,11949.8558286871,73.2096939783,8748.45288303402,29.0785160989,3474.8407509424,8.99999459,4.0110310475,1.0501621216
Kenya,1997,-1.5511151284,-204.365918272696,23.487158109,3094.53150615997,21.9360429806,2890.16558788727,-3.3366054195,-439.611746399314,22.5703400532,2973.73688529894,90.0031626089,11858.2938410481,15.8618353181,2089.86327377473,15.07244872,1985.85828148146,1045.90145073392,7.9382784408,939.956830747534,7.1341702792,11840.2343795206,13175.4190600787,74.1413272908,9768.43056727336,28.7167154506,3783.54760090786,11.2000083825,0.2201195016,-2.571038258
Kenya,1998,-0.590609895,-80.6621245822704,23.0077042644,3142.2607773289,22.4170943694,3061.59865274663,-3.9470828804,-539.070025309591,21.028077048,2871.89460414434,92.3496693814,12612.5901377288,16.9398520166,2313.54819038204,17.2263647362,2352.67846042668,1105.34882832948,8.0933890448,1247.3296320972,9.1329756914,12234.5689345733,13657.4285779451,75.4098173647,10299.0419473468,27.9754264185,3820.72388248819,6.6067294365,3.3304624082,0.4992202414
Kenya,1999,0.2904851432,37.1235831692464,20.6294168604,2636.40978011208,20.9199020036,2673.53336328133,-1.7635913593,-225.384437145843,21.3701944045,2731.08008395164,89.7436959754,11469.1151657122,15.993253151,2043.91473149202,15.6624993099,2001.64486670669,811.590991080678,6.3505487658,1190.05387562601,9.3119505442,12529.0492625818,12779.8560568032,73.7504428245,9425.20043422014,26.6280428438,3403.02554618336,5.7276942213,2.4069530327,-0.3727037393
