latitude,longitude,Adjusted-Population-Count_2000,Adjusted-Population-Count_2005,Adjusted-Population-Count_2010,Adjusted-Population-Count_2015,Adjusted-Population-Count_2020,Data-Code_2010,Data-Quality_Data-Context_2010,Data-Quality_Mean-Administrative-Unit-Area_2010,Data-Quality_Water-Mask_2010,Growth-Rate-End-Year_2010,Growth-Rate-Start-Year_2010,Growth_Rate-Admin-Level_2010,Input-Data-Age_2010,Input-Data-Level_2010,Input-Data-Sex_2010,Input-Data-Year_2010,Land-Area_2010,National-Identifier-Grid_2010,Water-Area_2010,Year-most-recent-Census_2010,Country_Name,City
-6.979166666666657,39.395833333333314,1466.4718,1722.501,2042.6085,2446.2507,2959.2124,1.0,0.0,137.77962,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.4375,810.61646,1081.9076,1443.9924,1927.2572,2572.2576,1.0,0.0,136.30713,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.47916666666666,1439.7119,1921.5441,2564.6323,3422.9446,4568.5103,1.0,0.0,83.31863,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354527,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.520833333333314,854.79645,1140.8734,1522.6926,2032.2961,2712.45,1.0,0.0,60.600986,1.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,15.245824,834.0,1.8377079,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.5625,45.84156,61.18348,81.65991,108.98926,145.46498,1.0,0.0,58.404045,1.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,0.83497983,834.0,0.87333673,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.9375,39.020833333333314,1001.07886,1033.5037,1066.9788,1101.538,1137.2167,1.0,0.0,233.94492,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.356422,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.9375,39.0625,1427.6147,1636.8744,1915.923,2291.3765,2800.1267,1.0,0.0,226.9217,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.356422,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.9375,39.10416666666666,12825.749,17739.225,24550.459,33992.934,47083.645,1.0,0.0,72.57117,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.356422,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.9375,39.145833333333314,14433.48,20012.385,27747.676,38472.85,53343.58,1.0,0.0,52.30388,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.356422,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.9375,39.1875,26429.896,36597.797,50679.81,70183.47,97197.22,1.0,0.0,27.716524,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.356422,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
