,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
258,Ekiti East,Local Government Area,...,138340,207100,→
259,Ekiti South West,Local Government Area,140183,165087,247200,→
260,Ekiti West,Local Government Area,...,179600,268900,→
261,Emure,Local Government Area,...,94264,141200,→
262,Ido-Osi,Local Government Area,...,160001,239600,→
263,Ijero,Local Government Area,95365,221873,332200,→
264,Ikere,Local Government Area,58612,148558,222400,→
265,Ikole,Local Government Area,119796,170414,255200,→
266,Ilejemeje,Local Government Area,...,43459,65100,→
267,Irepodun/Ifelodun,Local Government Area,110259,131330,196700,→
268,Ise/Orun,Local Government Area,...,113951,170600,→
269,Moba,Local Government Area,...,145408,217700,→
270,Oye,Local Government Area,115244,137796,206300,→
271,Enugu,State,2125068,3267837,4690100,→
272,Aninri,Local Government Area,...,136221,195500,→
273,Awgu,Local Government Area,...,197292,283200,→
274,Enugu East,Local Government Area,...,277119,397700,→
275,Enugu North,Local Government Area,...,242140,347500,→
276,Enugu South,Local Government Area,137050,198032,284200,→
277,Ezeagu,Local Government Area,112754,170603,244900,→
278,Igbo-Etiti,Local Government Area,138401,208333,299000,→
279,Igbo-Eze North,Local Government Area,139290,258829,371500,→
280,Igbo-Eze South,Local Government Area,75641,147364,211500,→
281,Isi-Uzo,Local Government Area,...,148597,213300,→
282,Nkanu East,Local Government Area,...,153591,220400,→
283,Nkanu West,Local Government Area,...,147385,211500,→
284,Nsukka,Local Government Area,220411,309448,444100,→
285,Oji-River,Local Government Area,86361,128741,184800,→
286,Udenu,Local Government Area,...,178687,256500,→
287,Udi,Local Government Area,160500,238305,342000,→
288,Uzo-Uwani,Local Government Area,88112,127150,182500,→
289,Federal Capital Territory (Abuja),Territory,371674,1406239,3067500,→
290,Abaji,Local Government Area,21081,58642,127900,→
291,Abuja Municipal Area Council,Local Government Area,...,776298,1693400,→
292,Bwari,Local Government Area,...,229274,500100,→
293,Gwagwalada,Local Government Area,...,158618,346000,→
294,Kuje,Local Government Area,44338,97233,212100,→
295,Kwali,Local Government Area,...,86174,188000,→
296,Gombe,State,1489120,2365040,3960100,→
297,Akko,Local Government Area,235592,337435,565000,→
298,Balanga,Local Government Area,129099,211490,354100,→
299,Billiri,Local Government Area,86557,202680,339400,→
300,Dukku,Local Government Area,156825,207658,347700,→
301,Funakaye,Local Government Area,...,237687,398000,→
302,Gombe,Local Government Area,...,266844,446800,→
303,Kaltungo,Local Government Area,...,160392,268600,→
304,Kwami,Local Government Area,...,193995,324800,→
305,Nafada,Local Government Area,...,140185,234700,→
306,Shomgom,Local Government Area,...,150948,252800,→
307,Yamaltu/Deba,Local Government Area,221836,255726,428200,→
308,Imo,State,2485635,3927563,5459300,→
309,Abo-Mbaise,Local Government Area,115360,194779,270700,→
310,Ahiazu-Mbaise,Local Government Area,96170,170824,237400,→
311,Ehime-Mbano,Local Government Area,97145,130575,181500,→
312,Ezinihitte,Local Government Area,92462,168767,234600,→
313,Ideato North,Local Government Area,118519,156161,217100,→
314,Ideato South,Local Government Area,79236,159654,221900,→
315,Ihitte/Uboma,Local Government Area,69009,119419,166000,→
316,Ikeduru,Local Government Area,108367,149737,208100,→
317,Isiala-Mbano,Local Government Area,106170,197921,275100,→
318,Isu,Local Government Area,...,164328,228400,→
319,Mbaitoli,Local Government Area,148531,237474,330100,→
320,Ngor-Okpala,Local Government Area,135711,157858,219400,→
321,Njaba,Local Government Area,...,143485,199400,→
322,Nkwerre,Local Government Area,...,80270,111600,→
323,Nwangele,Local Government Area,...,127691,177500,→
324,Obowo,Local Government Area,64277,117432,163200,→
325,Oguta,Local Government Area,...,142340,197900,→
326,Ohaji/Egbema,Local Government Area,119116,182891,254200,→
327,Okigwe,Local Government Area,...,132701,184500,→
328,Orlu,Local Government Area,117343,142792,198500,→
329,Orsu,Local Government Area,87521,120224,167100,→
330,Oru East,Local Government Area,...,111743,155300,→
331,Oru West,Local Government Area,...,115704,160800,→
332,Owerri Municipal,Local Government Area,...,125337,174200,→
333,Owerri North,Local Government Area,...,176334,245100,→
334,Owerri West,Local Government Area,...,101754,141400,→
335,Unuimo,Local Government Area,...,99368,138100,→
336,Jigawa,State,2875525,4361002,7499100,→
337,Auyo,Local Government Area,...,132268,227400,→
338,Babura,Local Government Area,140182,212955,366200,→
339,Biriniwa,Local Government Area,122958,142015,244200,→
340,Birnin Kudu,Local Government Area,...,314108,540100,→
341,Buji,Local Government Area,...,97284,167300,→
342,Dutse,Local Government Area,138451,251135,431800,→
343,Gagarawa,Local Government Area,...,82153,141300,→
344,Garki,Local Government Area,107337,150261,258400,→
345,Gumel,Local Government Area,...,106371,182900,→
346,Guri,Local Government Area,...,113363,194900,→
347,Gwaram,Local Government Area,196480,271368,466600,→
348,Gwiwa,Local Government Area,58184,128730,221400,→
349,Hadejia,Local Government Area,...,104286,179300,→
350,Jahun,Local Government Area,...,229882,395300,→
351,Kafin Hausa,Local Government Area,154746,267284,459600,→
352,Kaugama,Local Government Area,96662,128981,221800,→
353,Kazaure,Local Government Area,...,161161,277100,→
354,Kiri Kasama,Local Government Area,...,192583,331200,→
355,Kiyawa,Local Government Area,107465,172952,297400,→
356,Maigatari,Local Government Area,106811,177057,304500,→
357,Malam Madori,Local Government Area,100961,164791,283400,→
358,Miga,Local Government Area,...,127876,219900,→
359,Ringim,Local Government Area,158208,192407,330900,→
360,Roni,Local Government Area,55254,77414,133100,→
361,Sule Tankarkar,Local Government Area,117042,134813,231800,→
362,Taura,Local Government Area,97243,131861,226700,→
363,Yankwashi,Local Government Area,...,95643,164500,→
364,Kaduna,State,3935618,6113503,9032200,→
365,Birnin-Gwari,Local Government Area,143072,258581,382000,→
366,Chikun,Local Government Area,...,372272,550000,→
367,Giwa,Local Government Area,171061,292384,432000,→
368,Igabi,Local Government Area,308239,430753,636400,→
369,Ikara,Local Government Area,...,194723,287700,→
370,Jaba,Local Government Area,66119,155973,230400,→
371,Jema'a,Local Government Area,...,278202,411000,→
372,Kachia,Local Government Area,...,252568,373100,→
373,Kaduna North,Local Government Area,...,364575,538600,→
374,Kaduna South,Local Government Area,...,402731,595000,→
375,Kagarko,Local Government Area,...,239058,353200,→
376,Kajuru,Local Government Area,...,109810,162200,→
377,Kaura,Local Government Area,101455,174626,258000,→
378,Kauru,Local Government Area,116284,221276,326900,→
379,Kubau,Local Government Area,...,280704,414700,→
380,Kudan,Local Government Area,...,138956,205300,→
381,Lere,Local Government Area,205727,339740,501900,→
382,Makarfi,Local Government Area,...,146574,216600,→
383,Sabon-Gari,Local Government Area,224067,291358,430500,→
384,Sanga,Local Government Area,...,151485,223800,→
385,Soba,Local Government Area,174217,291173,430200,→
386,Zangon-Kataf,Local Government Area,140224,318991,471300,→
387,Zaria,Local Government Area,284318,406990,601300,→
388,Kano,State,5810470,9401288,15462200,→
389,Ajingi,Local Government Area,...,172610,283900,→
390,Albasu,Local Government Area,116603,187639,308600,→
391,Bagwai,Local Government Area,106645,161533,265700,→
392,Bebeji,Local Government Area,118833,191916,315600,→
393,Bichi,Local Government Area,182674,278309,457700,→
394,Bunkure,Local Government Area,122856,174467,286900,→
395,Dala,Local Government Area,...,418759,688700,→
396,Dambatta,Local Government Area,...,210474,346200,→
397,Dawakin Kudu,Local Government Area,163668,225497,370900,→
398,Dawakin Tofa,Local Government Area,156443,246197,404900,→
399,Doguwa,Local Government Area,83365,150645,247800,→
400,Fagge,Local Government Area,...,200095,329100,→
401,Gabasawa,Local Government Area,152899,211204,347400,→
402,Garko,Local Government Area,...,161966,266400,→
403,Garum Mallam,Local Government Area,...,118622,195100,→
404,Gaya,Local Government Area,...,207419,341100,→
405,Gezawa,Local Government Area,154629,282328,464300,→
406,Gwale,Local Government Area,...,357827,588500,→
407,Gwarzo,Local Government Area,118778,183624,302000,→
408,Kabo,Local Government Area,90158,153158,251900,→
409,Kano Municipal,Local Government Area,...,371243,610600,→
410,Karaye,Local Government Area,...,144045,236900,→
411,Kibiya,Local Government Area,...,138618,228000,→
412,Kiru,Local Government Area,156584,267168,439400,→
413,Kumbotso,Local Government Area,166558,294391,484200,→
414,Kunchi,Local Government Area,...,110170,181200,→
415,Kura,Local Government Area,...,143094,235300,→
416,Madobi,Local Government Area,78924,137685,226400,→
417,Makoda,Local Government Area,...,220094,362000,→
418,Minjibir,Local Government Area,139750,219611,361200,→
419,Nasarawa,Local Government Area,...,596411,980900,→
420,Rano,Local Government Area,...,148276,243900,→
421,Rimin Gado,Local Government Area,60622,103371,170000,→
