,0,1,2,3,4,5,6
185,Dar Châabane El Fehri,Delegation,دار شعبان الفهري,"39,477","46,781","52,122",
186,El Haouaria,Delegation,الهوارية,"39,378","41,317","43,517",
187,El Mida,Delegation,الميدة,"23,667","26,995","29,553",
188,Grombalia,Delegation,قرمبالية,"55,489","67,475","76,484",
189,Hammamet,Delegation,الحمامات,"95,468","97,855","105,820",
190,Hammam Ghezèze,Delegation,حمام الأغزاز,"14,324","15,727","16,925",
191,Kélibia,Delegation,قليببية,"53,648","58,491","62,646",
192,Korba,Delegation,قربة,"60,564","68,966","75,454",
193,Menzel Bouzelfa,Delegation,منزل بوزلفة,"33,599","37,860","41,227",
194,Menzel Temime,Delegation,منزل تميم,"59,463","65,645","70,780",
195,Nabeul,Delegation,نابل,"59,490","73,128","83,731",
196,Soliman,Delegation,سليمان,"41,846","53,491","63,301",
197,Takelsa,Delegation,تاكلسة,"20,169","22,151","23,976",
198,Sfax,Governorate,صفاقس,"855,256","955,421","1,024,561",
199,Agareb,Delegation,عقارب,"35,841","40,943","44,082",
200,Bir Ali Ben Khalifa [ Bir Ali Ben Khélifa ],Delegation,بئر علي بن خليفة,"50,059","52,678","54,293",
201,El Amra,Delegation,العامرة,"28,723","30,599","31,824",
202,El Hencha,Delegation,الحنشة,"43,170","49,223","53,118",
203,Graïba [ Ghraïba ],Delegation,الغريبة,"14,647","15,776","16,563",
204,Jebiniana,Delegation,جبنيانة,"44,029","49,678","53,197",
205,Kerkennah,Delegation,قرقنة,"14,400","15,501","16,395",
206,Mahrès,Delegation,المحرس,"30,676","34,257","36,432",
207,Menzel Chaker,Delegation,منزل شاكر,"34,119","37,368","39,255",
208,Sakiet Eddaïer,Delegation,ساقية الدائر,"98,988","113,776","124,427",
209,Sakiet Ezzit,Delegation,ساقية الزيت,"72,481","87,512","98,429",
210,Sfax Ouest,Delegation,صفاقس الغريبة,"104,998","110,125","112,997",
211,Sfax Sud,Delegation,صفاقس الجنوبية,"101,904","119,139","130,944",
212,Sfax Ville,Delegation,صفاقس المدينة,"105,958","101,176","97,457",
213,Skhira,Delegation,الصخيرة,"29,616","34,673","38,209",
214,Thyna,Delegation,طينة,"45,647","62,997","76,937",
215,Sidi Bouzid,Governorate,سيدي بوزيد,"395,506","429,912","458,232",
216,Bir El Hafey,Delegation,بئر الحفي,"33,979","38,288","41,683",
217,Cebbala Ouled Asker [ Cebalet ],Delegation,سبالة أولاد عسكر,"18,618","20,382","21,722",
218,El Hichria [ ← Sidi Bouzid Ouest / Est ],Delegation,الهيشرية,"12,414","13,393","14,135",
219,Essaïda [ ← Regueb ],Delegation,السعيدة,"21,305","23,175","24,625",
220,Jilma,Delegation,جلمة,"36,861","40,239","42,835",
221,Meknassy,Delegation,المكناسي,"22,617","23,789","24,901",
222,Menzel Bouzaiane,Delegation,منزل بوزيان,"23,668","25,321","26,927",
223,Mezzouna,Delegation,المزونة,"22,839","24,766","26,337",
224,Ouled Haffouz,Delegation,أولاد حفوز,"19,910","19,579","19,870",
225,Regueb,Delegation,الرقاب,"37,471","41,823","45,318",
226,Sidi Ali Ben Aoun,Delegation,سيدي علي بن عون,"24,896","28,214","30,564",
227,Sidi Bouzid Est,Delegation,سيدي بوزيد الشرقية,"44,449","45,701","47,587",
228,Sidi Bouzid Ouest,Delegation,سيدي بوزيد الغربية,"57,269","63,582","68,305",
229,Souk Jedid,Delegation,سوق الجديد,"19,210","21,660","23,424",
230,Siliana,Governorate,سليانة,"233,985","223,087","228,842",
231,Bargou,Delegation,برقو,"13,823","12,482","12,199",
232,Bou Arada,Delegation,بوعرادة,"20,877","20,444","21,154",
233,El Aroussa,Delegation,العروسة,"9,783","9,907","10,464",
234,El Krib,Delegation,الكريب,"21,546","20,155","20,104",
235,Gaâfour,Delegation,قعفور,"17,963","16,934","17,028",
236,Kesra,Delegation,كسرى,"17,763","16,404","16,315",
237,Makthar,Delegation,مكثر,"31,139","29,052","29,021",
238,Rouhia,Delegation,الروحية,"29,991","25,951","24,700",
239,Sidi Bou Rouis,Delegation,بورويس,"15,712","12,618","11,338",
240,Siliana Nord,Delegation,سليانة الشمالية,"26,102","28,907","33,573",
241,Siliana Sud,Delegation,سليانة الجنوبية,"29,286","30,233","32,946",
242,Sousse,Governorate,سوسة,"544,413","674,971","749,657",
243,Akouda,Delegation,اكودة,"25,717","34,494","40,160",
244,Bouficha,Delegation,بوفيشة,"23,581","26,763","28,254",
245,Enfida [ Enfidha ],Delegation,النفيضة,"43,426","49,335","52,038",
246,Hammam Sousse,Delegation,حمام سوسة,"34,685","42,691","47,269",
247,Hergla,Delegation,هرقلة,"7,913","9,343","9,981",
248,Kalâa Kebira,Delegation,القلعة الكبرى,"51,196","59,132","63,008",
249,Kalâa Seghira,Delegation,القلعة الصغرى,"27,726","37,797","43,901",
250,Kondar,Delegation,كندار,"11,636","13,565","14,709",
251,M'saken,Delegation,مساكن,"85,380","97,225","103,158",
252,Sidi Bou Ali,Delegation,سيدي بوعلي,"17,606","19,693","20,544",
253,Sidi El Hani,Delegation,سيدي الهاني,"11,614","13,505","14,380",
254,Sousse Jawhara,Delegation,سوسة جوهرة,"62,663","86,517","100,855",
255,Sousse Médina,Delegation,سوسة المدينة,"29,680","35,288","38,315",
256,Sousse Riadh,Delegation,سوسة الرياض,"46,116","64,532","74,924",
257,Sousse Sidi Abdelhamid,Delegation,سوسة سيدي عبد الحميد,"46,257","52,787","55,588",
258,Zaouiet - Ksibet Thrayet,Delegation,الزاوية - القصيبة - الثريات,"19,217","32,304","42,574",
259,Tataouine,Governorate,تطاوين,"143,524","149,453","151,831",
260,Beni Mehira [ ← Smâr ],Delegation,بني مهيرة,"7,764","7,793","7,601",
261,Bir Lahmar,Delegation,بئر الأحمر,"9,270","8,460","7,895",
262,Dehiba,Delegation,ذهيبة,"3,971","4,295","4,398",
263,Ghomrassen,Delegation,غمراسن,"18,335","15,957","14,634",
264,Remada,Delegation,رمادة,"9,977","10,173","10,232",
265,Smâr,Delegation,الصمار,"6,062","7,000","7,453",
266,Tataouine Nord,Delegation,تطاوين الشمالية,"54,362","61,431","65,409",
267,Tataouine Sud,Delegation,تطاوين الجنوبية,"33,783","34,344","34,209",
268,Tozeur,Governorate,توزر,"97,526","107,912","115,881",
269,Degache,Delegation,دقاش,"19,714","21,590","22,960",
