,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
165,Mahdia,Governorate,المهدية,377853,410812,446494,→
166,Bou Merdes,Municipality,بومرداس,14832,16726,18799,→
167,Chebba,Municipality,الشابة,27433,29282,31138,→
168,Chorbane,Municipality,شربان,28577,25935,24755,→
169,El Bradâa,Municipality,البرادعة,13693,15639,17271,→
170,El Hekaima,Municipality,الحكائمة,13232,13776,15130,→
171,El Jem,Municipality,الجم,27545,32458,37411,→
172,Essouassi,Municipality,السواسي,27305,29324,31986,→
173,Hebira,Municipality,هبيرة,11057,10654,10465,→
174,Kerker,Municipality,كركر,14727,17164,19291,→
175,Ksour Essef,Municipality,قصور الساف,31007,33960,37453,→
176,Mahdia,Municipality,المهدية,49553,55458,60911,→
177,Melloulèche,Municipality,ملولش,19464,22085,24635,→
178,Ouled Chamekh,Municipality,أولاد الشامخ,22732,23020,23907,→
179,Rejiche,Municipality,رجيش,8934,10311,11332,→
180,Sidi Alouane,Municipality,سيدي علوان,23737,25746,27525,→
181,Sidi Zid - Awled Moulahem,Municipality,سيدي زيد - أولاد مولاهم,18971,21100,23015,→
182,Tlelsa,Municipality,التلالسة,13519,16153,18618,→
183,Zelba,Municipality,زالبة,11535,12021,12851,→
184,Manouba,Governorate,منوبة,335912,379518,424139,→
185,Borj El Amri,Municipality,برج العامري,16184,17408,18964,→
186,Den Den,Municipality,الدندان,24732,26787,30124,→
187,Djedeida,Municipality,الجديدة,40327,44748,50225,→
188,Douar Hicher,Municipality,دوار هيشر,75959,84090,92731,→
189,El Bassatine,Municipality,البساتين,12932,13701,15890,→
190,El Batan,Municipality,البطان,17321,18977,20812,→
191,Manouba,Municipality,منوبة,26666,32005,35992,→
192,Mornaguia,Municipality,المرناقية,...,28986,33616,→
193,Oued Ellil,Municipality,وادي الليل,58544,69317,78767,→
194,Tebourba,Municipality,طبربة,41050,43499,47018,→
195,Médenine,Governorate,مدنين,432503,479520,520069,→
196,Ben Gardane,Municipality,بن قردان,70907,79912,87032,→
197,Beni Khedache,Municipality,بني خداش,28586,25885,25276,→
198,Boughrara,Municipality,بوغرارة,6744,6709,7383,→
199,Djerba Ajim,Municipality,جربة أجيم,24166,24294,25085,→
200,Djerba Houmt Souk,Municipality,جربة حومة السوق,64919,75904,84165,→
201,Djerba Midoun,Municipality,جربة ميدون,50459,63528,72915,→
202,Médenine,Municipality,مدنين,89445,102700,113075,→
203,Sidi Makhlouf,Municipality,سيدي مخلوف,23728,25206,26709,→
204,Zarzis,Municipality,جرجيس,45120,45223,47050,→
205,Zarzis Nord,Municipality,جرجيس الشمالية,28429,30159,31378,→
206,Monastir,Governorate,المنستير,455590,548828,607845,→
207,Amiret El Fhoul,Municipality,عميرة الفحول,4525,5255,5748,→
208,Amiret Hajjaj,Municipality,عميرة الحجاج,6770,8121,8882,→
209,Amiret Touazra,Municipality,عميرة التوازرة,4996,6261,6848,→
210,Bekalta,Municipality,البقالطة,...,17850,20397,→
211,Bembla et Mnara,Municipality,بنبلة والمنارة,13400,16078,17717,→
212,Beni Hassen,Municipality,بني حسان,8053,8801,9288,→
213,Bennane Bodheur,Municipality,بنان بوضر,12168,14258,15708,→
214,Bouhjar,Municipality,بوحجر,4831,6137,6457,→
215,Cherahil,Municipality,الشراحيل,4173,4406,4819,→
