Name,Status,Native,Population Census 1996-11-19,Population Census 2006-11-11,Population Estimate 2017-07-01,Population Estimate 2021-07-01,Unnamed: 7
Az-Zaqāzīq 2 [Zagazig],Kism (fully urban),قسم ثان الزقازيق,145296,169695,207463,232739,→
Bilbays [Bilbeis],Markaz,مركز بلبيس,473472,592933,818029,866246,→
Diyarb Najm,Markaz,مركز ديرب نجم,293026,352295,493043,519957,→
Fāqūs [Faqous],Kism (fully urban),قسم فاقوس,64266,78405,104244,116945,→
Fāqūs [Faqous],Markaz,مركز فاقوس,405116,497490,615176,641663,→
Hihyā,Markaz,مركز ههيا,171228,205353,299620,317772,→
Kafr Ṣaqr,Markaz,مركز كفر صقر,187162,218779,279595,294765,→
Madīnat 'Ashirh min-Ramaḍān 1 [10th of Ramadan City],Kism (fully urban),قسم أول مدينة عشرة رمضان,...,58986,74164,83191,→
Madīnat 'Ashirh min-Ramaḍān 2 [10th of Ramadan City],Kism (fully urban),قسم ثان مدينة عشرة رمضان,...,66934,145278,162957,→
Mashtūl as-Sūq,Markaz,مركز مشتول السوق,129205,159686,219794,234575,→
Minyā al-Qamḥ,Markaz,مركز منيا القمح,471973,574000,771987,812193,→
Munshāh Abū 'Umar,Markaz,مركز منشاه ابوعمر,...,80562,86670,91982,→
Ṣān al-Ḥajar,Markaz,مركز صان الحجر,...,136305,158443,167435,→
As-Suways [Suez],Governorate,السويس,417526,512135,730759,773840,→
Al-Arba'īn [Arbaeen],Kism (fully urban),قسم الأربعين,196770,212852,266576,282299,→
Al-Janāyin [Ganayen],Kism (fully urban),قسم الجناين,61655,88206,132091,139871,→
As-Suways [Suez],Kism (fully urban),قسم السويس,43590,52224,81892,86721,→
'Atāqah [Attaka],Kism (fully urban),قسم عتاقة,8754,26793,70167,74299,→
Fayṣal [Faisal],Kism (fully urban),قسم فيصل,106757,132060,180033,190650,→
Idārah Shurṭah Mīnā' as-Suways [Port Suez Police Department],Police-administrated Area,إدارة شرطة ميناء السويس,...,...,...,...,→
Aswān [Assuan],Governorate,أسوان,960510,1186482,1481446,1600210,→
Abū Sunbul [Abu Simbel],Markaz,مركز أبو سنبل,...,6413,7652,8131,→
Aswān,Markaz,مركز أسوان,61575,70541,71810,72549,→
Aswān 1,Kism (fully urban),قسم اول أسوان,...,...,152899,180468,→
Aswān 2,Kism (fully urban),قسم ثان أسوان,...,...,168862,199306,→
Daraw,Markaz,مركز دراو,83028,98036,137245,147564,→
Idfū [Edfu],Markaz,مركز أدفو,298826,365353,462400,488805,→
Kawm Umbū [Kom Ombo],Markaz,مركز كوم امبو,230472,300935,388555,409311,→
Madīnat Aswān al-Jadīdah [New Aswan],New City,مدينة أسوان الجديدة,0,0,96,112,→
Madīnat Tūshka al-Jadīdah [New Tushka],New City,مدينة توشكى الجديدة,...,2655,...,...,→
Naṣr [Nasser City],Markaz,مركز نصر,67068,76536,91927,93964,→
Asyūt [Asyut],Governorate,أسيوط,2802334,3444967,4407335,4847735,→
Abnūb,Markaz,مركز أبنوب,247541,304774,413758,454520,→
Abū Tīj,Kism (fully urban),قسم ابو تيج,59474,70969,92134,105418,→
Abū Tīj,Markaz,مركز أبوتيج,163448,193118,231577,251125,→
Al-Badārī,Markaz,مركز البدارى,172151,213900,271635,297487,→
Al-Fatḥ,Markaz,مركز الفتح,191574,242443,320636,348876,→
Al-Ghanāyim [El Ghanayem],Markaz,مركز الغنايم,83206,105079,133490,148455,→
Al-Qūṣiyah,Markaz,مركز القوصية,289810,360300,465787,510317,→
Asyūṭ [Asyut],Markaz,مركز أسيوط,321602,399288,518936,562743,→
Asyūṭ 1 [Asyut],Kism (fully urban),قسم أول أسيوط,195048,220489,250033,286075,→
Asyūṭ 2 [Asyut],Kism (fully urban),قسم ثان أسيوط,148614,168818,212028,242594,→
Dayrūṭ [Dairut],Markaz,مركز ديروط,364139,462267,598001,653847,→
Madīnat Asyūṭ al-Jadīdah [New Asyut],New City,مدينة اسيوط الجديدة,...,1761,8065,9228,→
Manfalūṭ,Markaz,مركز منفلوط,327159,415405,526382,576972,→
Sāḥīl Salim [Sahel Selim],Markaz,مركز ساحل سليم,110114,134610,180996,199101,→
Ṣidfa [Sodfa],Markaz,مركز صدفا,128454,151746,183877,200977,→
Banī Suwayf [Beni Suef],Governorate,بنى سويف,1859213,2291618,3171186,3455733,→
Al-Fashn,Markaz,مركز الفشن,270931,337132,470846,512242,→
Al-Wāsiṭā,Markaz,مركز الواسطى,292805,358741,493368,532119,→
Banī Suwayf [Beni Suef],Kism (fully urban),قسم بنى سويف,171734,193048,235867,273151,→
Banī Suwayf [Beni Suef],Markaz,مركز بنى سويف,242969,298047,431278,461283,→
Bibā,Markaz,مركز ببا,268724,329234,469488,509384,→
Ihnāsiyā,Markaz,مركز أهناسيا,226434,283514,391721,423868,→
Madīnat Banī Suwayf al-Jadīdah [New Beni Suef],Kism (fully urban),قسم مدينة بنى سويف الجديدة,208,17921,27873,32278,→
Nāṣir [Nasser],Markaz,مركز ناصر,225166,273542,373510,409922,→
